H00wald1sidedPower H0wald1sidedPower H0lr1sidedPower
704_2:1_IC50_0 0.041 0.056 0.06
703_2:1_IC50_0 0.046 0.052 0.054
704and703_2:1_IC50_0 0.047 0.039 0.039
704_1:1_IC50_0 0.036 0.028 0.039
703_1:1_IC50_0 0.06 0.059 0.065
704and703_1:1_IC50_0 0.039 0.045 0.046
704_2:1_IC80_0 0.047 0.062 0.058
703_2:1_IC80_0 0.049 0.05 0.052
704and703_2:1_IC80_0 0.056 0.036 0.041
704_1:1_IC80_0 0.047 0.056 0.064
703_1:1_IC80_0 0.049 0.055 0.059
704and703_1:1_IC80_0 0.052 0.045 0.044
704_2:1_IC50_0.3 0.449 0.178 0.189
703_2:1_IC50_0.3 0.352 0.166 0.174
704and703_2:1_IC50_0.3 0.576 0.26 0.262
704_1:1_IC50_0.3 0.329 0.13 0.139
703_1:1_IC50_0.3 0.284 0.139 0.145
704and703_1:1_IC50_0.3 0.491 0.196 0.202
704_2:1_IC80_0.3 0.34 0.132 0.136
703_2:1_IC80_0.3 0.275 0.114 0.12
704and703_2:1_IC80_0.3 0.449 0.195 0.2
704_1:1_IC80_0.3 0.27 0.127 0.135
703_1:1_IC80_0.3 0.208 0.106 0.11
704and703_1:1_IC80_0.3 0.362 0.165 0.168
704_2:1_IC50_0.5 0.82 0.307 0.323
703_2:1_IC50_0.5 0.76 0.347 0.359
704and703_2:1_IC50_0.5 0.951 0.496 0.508
704_1:1_IC50_0.5 0.705 0.227 0.243
703_1:1_IC50_0.5 0.621 0.277 0.288
704and703_1:1_IC50_0.5 0.891 0.395 0.4
704_2:1_IC80_0.5 0.7 0.285 0.287
703_2:1_IC80_0.5 0.548 0.197 0.203
704and703_2:1_IC80_0.5 0.861 0.401 0.407
704_1:1_IC80_0.5 0.572 0.228 0.239
703_1:1_IC80_0.5 0.435 0.18 0.185
704and703_1:1_IC80_0.5 0.759 0.332 0.335
704_2:1_IC50_0.7 0.995 0.606 0.617
703_2:1_IC50_0.7 0.981 0.626 0.639
704and703_2:1_IC50_0.7 1 0.825 0.831
704_1:1_IC50_0.7 0.947 0.443 0.455
703_1:1_IC50_0.7 0.931 0.49 0.495
704and703_1:1_IC50_0.7 0.997 0.752 0.757
704_2:1_IC80_0.7 0.954 0.538 0.551
703_2:1_IC80_0.7 0.886 0.451 0.467
704and703_2:1_IC80_0.7 0.995 0.735 0.734
704_1:1_IC80_0.7 0.886 0.369 0.382
703_1:1_IC80_0.7 0.79 0.339 0.353
704and703_1:1_IC80_0.7 0.985 0.615 0.623
704_2:1_IC50_0.9 1 0.915 0.921
703_2:1_IC50_0.9 1 0.961 0.968
704and703_2:1_IC50_0.9 1 0.995 0.996
704_1:1_IC50_0.9 0.996963562753036 0.761133603238866 0.765182186234818
703_1:1_IC50_0.9 1 0.794 0.804
704and703_1:1_IC50_0.9 1 0.968 0.971
704_2:1_IC80_0.9 1 0.887 0.901
703_2:1_IC80_0.9 0.999 0.807 0.812
704and703_2:1_IC80_0.9 1 0.985 0.985
704_1:1_IC80_0.9 0.995995995995996 0.733733733733734 0.74974974974975
703_1:1_IC80_0.9 0.991 0.669 0.695
704and703_1:1_IC80_0.9 1 0.944 0.952
