H00wald1sidedPower H0wald1sidedPower H0lr1sidedPower
703_2:1_IC50_0 0.035 0.033 0.04
703_1:1_IC50_0 0.059 0.042 0.047
703_2:1_IC80_0 0.042 0.027 0.028
703_1:1_IC80_0 0.045 0.044 0.048
703_2:1_IC50_0.3 0.311 0.087 0.095
703_1:1_IC50_0.3 0.282 0.103 0.106
703_2:1_IC80_0.3 0.19 0.041 0.04
703_1:1_IC80_0.3 0.198 0.099 0.107
703_2:1_IC50_0.5 0.676 0.182 0.189
703_1:1_IC50_0.5 0.614 0.204 0.21
703_2:1_IC80_0.5 0.457 0.092 0.097
703_1:1_IC80_0.5 0.408 0.165 0.174
703_2:1_IC50_0.7 0.944 0.326 0.334
703_1:1_IC50_0.7 0.891 0.393 0.406
703_2:1_IC80_0.7 0.752 0.182 0.186
703_1:1_IC80_0.7 0.712 0.255 0.276
703_2:1_IC50_0.9 0.999 0.592 0.585
703_1:1_IC50_0.9 0.993 0.631 0.632
703_2:1_IC80_0.9 0.993 0.417 0.419
703_1:1_IC80_0.9 0.975 0.489 0.504
