H00wald1sidedPower H0wald1sidedPower H0lr1sidedPower
703_2:1_IC50_0 0.0506 0.0516 0.058
703_1:1_IC50_0 0.0486 0.0492 0.0526
703_2:1_IC80_0 0.0458 0.0474 0.049
703_1:1_IC80_0 0.0526 0.048 0.0508
703_2:1_IC50_0.3 0.364 0.1532 0.1634
703_1:1_IC50_0.3 0.2912 0.1266 0.1328
703_2:1_IC80_0.3 0.242 0.1186 0.1236
703_1:1_IC80_0.3 0.207 0.1104 0.1182
703_2:1_IC50_0.5 0.7478 0.3004 0.3126
703_1:1_IC50_0.5 0.6288 0.2362 0.2442
703_2:1_IC80_0.5 0.541 0.231 0.2374
703_1:1_IC80_0.5 0.4384 0.1822 0.1878
703_2:1_IC50_0.7 0.9746 0.5698 0.583
703_1:1_IC50_0.7 0.9236 0.4416 0.4516
703_2:1_IC80_0.7 0.881 0.4268 0.4362
703_1:1_IC80_0.7 0.7744 0.3204 0.3384
703_2:1_IC50_0.9 1 0.8796 0.8916
703_1:1_IC50_0.9 0.997997997997998 0.689289289289289 0.721521521521521
703_2:1_IC80_0.9 0.9984 0.7494 0.7692
703_1:1_IC80_0.9 0.9846 0.5664 0.6084
