H00wald1sidedPower H0wald1sidedPower H0lr1sidedPower
704_2:1_IC50_0 0.054 0.044 0.044
703_2:1_IC50_0 0.057 0.046 0.047
704and703_2:1_IC50_0 0.064 0.059 0.061
704_1:1_IC50_0 0.044 0.055 0.061
703_1:1_IC50_0 0.051 0.045 0.047
704and703_1:1_IC50_0 0.056 0.045 0.044
704_2:1_IC80_0 0.05 0.048 0.048
703_2:1_IC80_0 0.052 0.055 0.053
704and703_2:1_IC80_0 0.051 0.048 0.046
704_1:1_IC80_0 0.049 0.054 0.06
703_1:1_IC80_0 0.055 0.052 0.054
704and703_1:1_IC80_0 0.042 0.046 0.048
704_2:1_IC50_0.3 0.403 0.143 0.154
703_2:1_IC50_0.3 0.359 0.149 0.164
704and703_2:1_IC50_0.3 0.618 0.26 0.266
704_1:1_IC50_0.3 0.335 0.146 0.156
703_1:1_IC50_0.3 0.276 0.132 0.139
704and703_1:1_IC50_0.3 0.492 0.204 0.207
704_2:1_IC80_0.3 0.324 0.129 0.135
703_2:1_IC80_0.3 0.256 0.126 0.127
704and703_2:1_IC80_0.3 0.451 0.206 0.209
704_1:1_IC80_0.3 0.249 0.134 0.143
703_1:1_IC80_0.3 0.223 0.127 0.134
704and703_1:1_IC80_0.3 0.36 0.158 0.16
704_2:1_IC50_0.5 0.814 0.299 0.316
703_2:1_IC50_0.5 0.75 0.348 0.364
704and703_2:1_IC50_0.5 0.962 0.549 0.555
704_1:1_IC50_0.5 0.682 0.253 0.266
703_1:1_IC50_0.5 0.626 0.28 0.287
704and703_1:1_IC50_0.5 0.904 0.456 0.459
704_2:1_IC80_0.5 0.72 0.282 0.289
703_2:1_IC80_0.5 0.558 0.227 0.23
704and703_2:1_IC80_0.5 0.868 0.463 0.465
704_1:1_IC80_0.5 0.564 0.217 0.232
703_1:1_IC80_0.5 0.457 0.221 0.234
704and703_1:1_IC80_0.5 0.788 0.352 0.358
704_2:1_IC50_0.7 0.992 0.58 0.599
703_2:1_IC50_0.7 0.981 0.639 0.657
704and703_2:1_IC50_0.7 1 0.903 0.911
704_1:1_IC50_0.7 0.958 0.453 0.464
703_1:1_IC50_0.7 0.921 0.516 0.536
704and703_1:1_IC50_0.7 0.999 0.776 0.779
704_2:1_IC80_0.7 0.952 0.512 0.52
703_2:1_IC80_0.7 0.905 0.489 0.504
704and703_2:1_IC80_0.7 0.993 0.806 0.808
704_1:1_IC80_0.7 0.879 0.414 0.434
703_1:1_IC80_0.7 0.785 0.331 0.356
704and703_1:1_IC80_0.7 0.985 0.654 0.66
704_2:1_IC50_0.9 0.999 0.927 0.929
703_2:1_IC50_0.9 1 0.954 0.959
704and703_2:1_IC50_0.9 1 1 1
704_1:1_IC50_0.9 0.997983870967742 0.782258064516129 0.773185483870968
703_1:1_IC50_0.9 0.998 0.814 0.841
704and703_1:1_IC50_0.9 1 0.972 0.975
704_2:1_IC80_0.9 1 0.892 0.902
703_2:1_IC80_0.9 0.996 0.829 0.844
704and703_2:1_IC80_0.9 1 0.998 0.999
704_1:1_IC80_0.9 0.999 0.747 0.773
703_1:1_IC80_0.9 0.989 0.67 0.699
704and703_1:1_IC80_0.9 1 0.969 0.969
